Gene,Gene_ID,Disease,Disease_ID,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,GMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
MEF2A,4205,Coronary artery disease/myocardial infarction,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
FGF9,2254,Symphalangism-brachydactyly syndrome,OMIM_186500,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
SREBF1,6720,Hereditary mucoepithelial dysplasia,OMIM_308205,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,1
GCNT2,2651,Cataract 13 with adult I phenotype,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
SUMF1,285362,Multiple sulfatase deficiency,OMIM_272200,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,1
TBXA2R,6915,Impaired thromboxane A2 agonist-induced platelet aggregation,MedGen_C4023141,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
TMPRSS6,164656,Iron-refractory iron deficiency anemia,OMIM_206200,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
ZNF462,58499,Weiss-Kruszka syndrome,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,1
SUMF1,285362,Spinocerebellar ataxia /,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.264714,0.57735,0.0,0.737408,92.18,1,2
AGTR1,185,Essential hypertension,MedGen_88442,4,5,10.4815,9.8106,20.2921,0.418645,0.521749,1.0,0.73728,92.18,2,1
RXYLT1,10329,Muscular dystrophy-dystroglycanopathy,MedGen_1842215,2,14,11.4815,8.3251,19.8067,0.460407,0.478091,1.0,0.7372,92.17,1,2
SLC24A5,283652,Oculocutaneous albinism,MedGen_36250,1,9,12.4815,8.9626,21.4441,0.472562,0.0,1.0,0.737115,92.16,1,1
LRMDA,83938,Oculocutaneous albinism,MedGen_36250,1,9,12.4815,8.9626,21.4441,0.472562,0.0,1.0,0.737115,92.16,1,1
UGT2B7,7364,Tramadol response,ClinVar_NULL,1,4,12.4815,10.1325,22.614,0.525783,0.0,0.0,0.736875,92.16,1,1
WBP11,51729,Vertebral,ClinVar_NULL,2,4,11.4815,10.1325,21.614,0.389927,0.5,0.0,0.736819,92.15,2,1
CPA1,1357,Hereditary pancreatitis,OMIM_607259,2,6,11.4815,9.5475,21.0291,0.306513,0.408248,1.0,0.736776,92.14,1,1
CTRC,11330,Hereditary pancreatitis,OMIM_607259,2,6,11.4815,9.5475,21.0291,0.306513,0.408248,1.0,0.736776,92.14,1,1
KLF11,8462,Maturity-onset diabetes of the young,MedGen_87433,4,15,10.4815,8.2256,18.7072,0.606112,0.62294,1.0,0.736765,92.13,2,1
PAX4,5078,Maturity-onset diabetes of the young,MedGen_87433,4,15,10.4815,8.2256,18.7072,0.606112,0.62294,1.0,0.736765,92.13,2,1
GALNS,2588,Adenine phosphoribosyltransferase deficiency,ClinVar_NULL,4,3,10.4815,10.5475,21.0291,0.609789,0.432404,0.0,0.736632,92.12,2,2
CEP78,84131,Cone-rod dystrophy and hearing loss,MONDO_0014980,4,2,10.4815,11.1325,21.614,0.75,0.114808,0.0,0.736619,92.12,2,1
GPR101,83550,Pituitary adenoma,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.232395,0.447214,1.0,0.736556,92.11,1,1
ABCB4,5244,Progressive familial intrahepatic cholestasis,ClinVar_NULL,5,5,10.1596,9.8106,19.9702,0.474416,0.546355,1.0,0.736548,92.1,3,1
SRGAP1,57522,Thyroid cancer,MedGen_2869,1,7,12.4815,9.3251,21.8067,0.409136,0.0,1.0,0.736404,92.1,1,1
CALR,811,Thrombocythemia,ClinVar_NULL,4,6,10.4815,9.5475,20.0291,0.457478,0.524007,1.0,0.736367,92.09,2,2
IL4R,3566,IgE responsiveness,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.408248,0.25,0.0,0.73636,92.09,2,1
PDE4D,5144,Acrodysostosis,MedGen_113097,1,3,12.4815,10.5475,23.0291,0.454124,0.0,0.0,0.736308,92.08,1,1
EMX2,2018,Schizencephaly,ClinVar_NULL,1,3,12.4815,10.5475,23.0291,0.454124,0.0,0.0,0.736308,92.08,1,1
TXN2,25828,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
TIMM22,29928,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
NFS1,9054,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
POLRMT,5442,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
MRPS14,63931,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
GATB,5188,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
SLC25A26,115286,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
MRPS34,65993,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
MRPS7,51081,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
MRPS2,51116,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
PTCD3,55037,Combined oxidative phosphorylation deficiency,MedGen_1626645,1,26,12.4815,7.4321,19.9136,0.725541,0.0,1.0,0.736274,92.04,1,1
IGSF1,3547,X-linked central congenital hypothyroidism,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.288675,0.408248,0.0,0.73613,92.01,1,1
SPTB,6710,Hereditary spherocytosis,MedGen_52450,5,5,10.1596,9.8106,19.9702,0.440098,0.589877,1.0,0.736113,92.0,3,2
ABCB4,5244,Familial intrahepatic cholestasis,MONDO_0017290,5,3,10.1596,10.5475,20.7072,0.553546,0.607324,0.0,0.736086,92.0,2,2
ITPKB,3707,Myeloproliferative neoplasm,MedGen_220955,1,5,12.4815,9.8106,22.2921,0.326553,0.0,1.0,0.736066,91.99,1,1
AMN,81693,Megaloblastic anemia,MedGen_1527,3,3,10.8966,10.5475,21.4441,0.364802,0.622008,0.0,0.735743,91.99,1,2
TICAM1,148022,Herpes simplex encephalitis,ClinVar_NULL,2,4,11.4815,10.1325,21.614,0.607487,0.204124,0.0,0.735691,91.98,2,1
MTO1,25821,Mitochondrial hypertrophic cardiomyopathy,ClinVar_NULL,3,2,10.8966,11.1325,22.0291,0.57735,0.207667,0.0,0.735673,91.97,2,1
EZH2,2146,Weaver syndrome,ClinVar_NULL,1,2,12.4815,11.1325,23.614,0.353553,0.0,0.0,0.735625,91.96,1,1
PALM,5064,Atypical cerebral palsy,ClinVar_NULL,1,2,12.4815,11.1325,23.614,0.353553,0.0,0.0,0.735625,91.96,1,1
PPOX,5498,Variegate porphyria,OMIM_111600,1,2,12.4815,11.1325,23.614,0.353553,0.0,0.0,0.735625,91.96,1,1
GUCY2C,2984,Congenital diarrhea,MONDO_0000824,3,3,10.8966,10.5475,21.4441,0.397784,0.57735,0.0,0.735611,91.95,2,2
FOXH1,8928,Holoprosencephaly sequence,OMIM_PS236100,1,11,12.4815,8.6731,21.1546,0.514912,0.0,1.0,0.735529,91.95,2,1
HADHA,3030,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,OMIM_PS609015,4,3,10.4815,10.5475,21.0291,0.497891,0.575727,0.0,0.735489,91.94,2,2
IFNGR2,3460,Interferon gamma receptor deficiency,MedGen_C1112429,2,2,11.4815,11.1325,22.614,0.471405,0.161165,0.0,0.73546,91.94,1,1
HYLS1,219844,Genetic syndrome,ClinVar_NULL,4,3,10.4815,10.5475,21.0291,0.427824,0.66874,0.0,0.73541,91.93,1,2
POMK,84197,Limb-girdle muscular dystrophy due to POMK deficiency,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.308607,0.377964,0.0,0.735409,91.92,1,1
LHX3,8022,Combined Pituitary Hormone Deficiency,ClinVar_NULL,3,6,10.8966,9.5475,20.4441,0.36467,0.51031,1.0,0.735402,91.92,2,2
RBFOX3,146713,Idiopathic generalized epilepsy,OMIM_PS600669,1,8,12.4815,9.1325,21.614,0.436688,0.0,1.0,0.735188,91.91,1,1
SYT2,127833,Myasthenic syndrome,ClinVar_NULL,2,6,11.4815,9.5475,21.0291,0.48637,0.160128,1.0,0.73516,91.91,3,1
AIMP1,9255,Hypomyelinating leukodystrophy,ClinVar_NULL,1,13,12.4815,8.4321,20.9136,0.553786,0.0,1.0,0.735147,91.9,1,1
HIKESHI,51501,Hypomyelinating leukodystrophy,ClinVar_NULL,1,13,12.4815,8.4321,20.9136,0.553786,0.0,1.0,0.735147,91.9,1,1
DNMT3B,1789,Immunodeficiency-centromeric instability-facial anomalies syndrome,MedGen_140770,3,4,10.8966,10.1325,21.0291,0.57735,0.426777,0.0,0.734875,91.89,2,1
FOXC1,2296,Axenfeld-Rieger anomaly,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,0.474342,0.575878,0.0,0.734828,91.88,1,1
FOXC1,2296,Axenfeld-Rieger syndrome,MedGen_501192,5,2,10.1596,11.1325,21.2921,0.474342,0.575878,0.0,0.734828,91.88,1,1
TRIP13,9319,Mosaic variegated aneuploidy syndrome,MedGen_1641418,2,4,11.4815,10.1325,21.614,0.589256,0.223607,0.0,0.734753,91.87,2,2
ETFA,2108,Multiple acyl-CoA dehydrogenase deficiency,OMIM_231680,3,4,10.8966,10.1325,21.0291,0.444298,0.603553,0.0,0.734753,91.87,2,2
CCND2,894,Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.566228,0.160817,0.0,0.734586,91.86,1,1
PRKAR1A,5573,Carney complex,OMIM_PS101800,6,2,9.8966,11.1325,21.0291,0.612372,0.473968,0.0,0.734477,91.86,2,1
RAB3GAP1,22930,Warburg micro syndrome,MedGen_1781286,3,4,10.8966,10.1325,21.0291,0.603118,0.390274,0.0,0.734457,91.85,2,2
UTP14C,9724,ALG11-congenital disorder of glycosylation,OMIM_613661,1,3,12.4815,10.5475,23.0291,0.446789,0.0,0.0,0.734406,91.85,2,1
NSMF,26012,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
SEMA3F,6405,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
TACR3,6870,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
GNRH1,2796,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
FLRT3,23767,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
NDNF,79625,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
SPRY4,81848,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
HS6ST1,9394,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
DUSP6,1848,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
TAC3,6866,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
POU6F2,11281,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
IL17RD,54756,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
PROKR2,128674,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
CCDC141,285025,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
FSHB,2488,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
KISS1,3814,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
FEZF1,389549,Hypogonadotropic hypogonadism,MedGen_C0950123,1,32,12.4815,7.1325,19.614,0.767978,0.0,1.0,0.734272,91.79,1,1
ATP6V1E1,529,Autosomal recessive cutis laxa,ClinVar_NULL,2,4,11.4815,10.1325,21.614,0.45316,0.400892,0.0,0.73394,91.74,1,1
IL23R,149233,Psoriasis,OMIM_609628,2,5,11.4815,9.8106,21.2921,0.470654,0.11547,1.0,0.733821,91.74,3,1
CFHR4,10877,Atypical hemolytic-uremic syndrome,MedGen_444141,2,23,11.4815,7.6089,19.0905,0.469297,0.608299,1.0,0.733737,91.73,1,1
