Gene,Gene_ID,Gene_OMIM,Disease,Disease_OMIM,OMIM_PhenoClass,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,PhenotypeClass,GMT_Confirmed,RevGMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
SLC25A19,60386,OMIM:606521,"microcephaly, amish type",OMIM:607196,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SLC25A19,60386,OMIM:606521,thiamine metabolism dysfunction syndrome 4 (progressive polyneuropathy type),OMIM:613710,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
ABCB11,8647,OMIM:603201,"cholestasis, progressive familial intrahepatic 2",OMIM:601847,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
ABCB11,8647,OMIM:603201,"cholestasis, benign recurrent intrahepatic, 2",OMIM:605479,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
KRT17,3872,OMIM:148069,steatocystoma multiplex,OMIM:184500,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
WISP3,8838,OMIM:603400,spondyloepiphyseal dysplasia tarda with progressive arthropathy,OMIM:208230,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
PLEKHG5,57449,OMIM:611101,"charcot-marie-tooth disease, recessive intermediate c",OMIM:615376,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
TPP1,1200,OMIM:607998,"ceroid lipofuscinosis, neuronal, 2",OMIM:204500,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
VAPB,9217,OMIM:605704,amyotrophic lateral sclerosis 8,OMIM:608627,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
VAPB,9217,OMIM:605704,"spinal muscular atrophy, late-onset, finkel type",OMIM:182980,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
AFG3L2,10939,OMIM:604581,"ataxia, spastic, 5, autosomal recessive",OMIM:614487,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
