drugbank_id,name,drug_class,atc_codes,moa,description,targets,safety_flags,pediatric_safe,pregnancy_category,routes,top_side_effects
DB11136,Chromium,,[],,,[],[],True,,[],[]
DB11182,Rose bengal,,[],,,[],[],True,,[],[]
DB13949,Ferric cation,,[],,,[],[],True,,[],[]
DB14520,Tetraferric tricitrate decahydrate,,[],,,[],[],True,,[],[]
DB14526,Chromic citrate,,[],,,[],[],True,,[],[]
DB14527,Chromic nitrate,,[],,,[],[],True,,[],[]
DB14528,Chromium gluconate,,[],,,[],[],True,,[],[]
DB14529,Chromium nicotinate,,[],,,[],[],True,,[],[]
DB14530,Chromous sulfate,,[],,,[],[],True,,[],[]
DB00070,Hyaluronidase (ovine),,[],,,[],[],True,,[],[]
DB00104,Octreotide,,[],,,[],[],True,,[],[]
DB00126,Ascorbic acid,,[],,,[],[],True,,[],[]
DB00137,Lutein,,[],,,[],[],True,,[],[]
DB00152,Thiamine,,[],,,[],[],True,,[],[]
DB00159,Icosapent,,[],,,[],[],True,,[],[]
DB00165,Pyridoxine,,[],,,[],[],True,,[],[]
DB00214,Torasemide,,[],,,[],[],True,,[],[]
DB00220,Nelfinavir,,[],,,[],[],True,,[],[]
DB00227,Lovastatin,,[],,,[],[],True,,[],[]
DB00228,Enflurane,,[],,,[],[],True,,[],[]
DB00237,Butabarbital,,[],,,[],[],True,,[],[]
DB00238,Nevirapine,,[],,,[],[],True,,[],[]
DB00245,Benzatropine,,[],,,[],[],True,,[],[]
DB00246,Ziprasidone,,[],,,[],[],True,,[],[]
DB00252,Phenytoin,,[],,,[],[],True,,[],[]
DB00264,Metoprolol,,[],,,[],[],True,,[],[]
DB00266,Dicoumarol,,[],,,[],[],True,,[],[]
DB00273,Topiramate,,[],,,[],[],True,,[],[]
DB00274,Cefmetazole,,[],,,[],[],True,,[],[]
DB00278,Argatroban,,[],,,[],[],True,,[],[]
DB00286,Conjugated estrogens,,[],,,[],[],True,,[],[]
DB00289,Atomoxetine,,[],,,[],[],True,,[],[]
DB00294,Etonogestrel,,[],,,[],[],True,,[],[]
DB00295,Morphine,,[],,,[],[],True,,[],[]
DB00304,Desogestrel,,[],,,[],[],True,,[],[]
DB00310,Chlorthalidone,,[],,,[],[],True,,[],[]
DB00313,Valproic acid,,[],,,[],[],True,,[],[]
DB00316,Acetaminophen,,[],,,[],[],True,,[],[]
DB00317,Gefitinib,,[],,,[],[],True,,[],[]
DB00321,Amitriptyline,,[],,,[],[],True,,[],[]
DB00327,Hydromorphone,,[],,,[],[],True,,[],[]
DB00328,Indomethacin,,[],,,[],[],True,,[],[]
DB00332,Ipratropium,,[],,,[],[],True,,[],[]
DB00333,Methadone,,[],,,[],[],True,,[],[]
